# Wave_zero_point coeff_1 coeff_2 coeff_3 coeff_4 t_fft t_no_fft t_total nfreq nthreads version checksum
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.322999999999999954e+00 1.018000000000000016e+00 2.341000000000000192e+00 1.048576000000000000e+06 2.200000000000000000e+01 3.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.542000000000000037e+00 4.369000000000000106e-01 1.979000000000000092e+00 1.048576000000000000e+06 5.400000000000000000e+01 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.532999999999999918e+00 5.474000000000000199e+00 7.006999999999999673e+00 1.048576000000000000e+06 4.000000000000000000e+00 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.344999999999999973e+00 8.527000000000000135e-01 2.197999999999999954e+00 1.048576000000000000e+06 2.600000000000000000e+01 3.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.530999999999999917e+00 5.064999999999999503e-01 2.036999999999999922e+00 1.048576000000000000e+06 4.600000000000000000e+01 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.526000000000000023e+00 5.397000000000000242e+00 6.923000000000000043e+00 1.048576000000000000e+06 4.000000000000000000e+00 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.298999999999999932e+00 1.247999999999999998e+00 2.547000000000000153e+00 1.048576000000000000e+06 1.800000000000000000e+01 3.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.528000000000000025e+00 0.000000000000000000e+00 1.907000000000000028e+01 1.048576000000000000e+06 1.000000000000000000e+00 0.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.338999999999999968e+00 8.631999999999999673e-01 2.201999999999999957e+00 1.048576000000000000e+06 2.600000000000000000e+01 3.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.528000000000000025e+00 1.014000000000000012e+00 2.541999999999999815e+00 1.048576000000000000e+06 2.200000000000000000e+01 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.522000000000000020e+00 7.048999999999999710e-01 2.226999999999999869e+00 1.048576000000000000e+06 3.000000000000000000e+01 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.362999999999999989e+00 6.048999999999999932e-01 1.967999999999999972e+00 1.048576000000000000e+06 3.800000000000000000e+01 3.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.522000000000000020e+00 1.766000000000000014e+01 1.917999999999999972e+01 1.048576000000000000e+06 1.000000000000000000e+00 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 9.489999999999999547e-01 3.788000000000000256e-01 1.328000000000000069e+00 1.048576000000000000e+06 6.000000000000000000e+01 2.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.538000000000000034e+00 6.048999999999999932e-01 2.141999999999999904e+00 1.048576000000000000e+06 3.800000000000000000e+01 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.522999999999999909e+00 9.239000000000000545e-01 2.447000000000000064e+00 1.048576000000000000e+06 2.400000000000000000e+01 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.520999999999999908e+00 2.672000000000000153e+00 4.192999999999999616e+00 1.048576000000000000e+06 8.000000000000000000e+00 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.387999999999999901e+00 5.853000000000000425e-01 1.973999999999999977e+00 1.048576000000000000e+06 4.000000000000000000e+01 3.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.377999999999999892e+00 3.658999999999999808e+00 5.036999999999999922e+00 1.048576000000000000e+06 6.000000000000000000e+00 3.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.524000000000000021e+00 2.763999999999999790e+00 4.288000000000000256e+00 1.048576000000000000e+06 8.000000000000000000e+00 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.524000000000000021e+00 6.654999999999999805e-01 2.189000000000000057e+00 1.048576000000000000e+06 3.200000000000000000e+01 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.370999999999999996e+00 6.008999999999999897e-01 1.971000000000000085e+00 1.048576000000000000e+06 3.800000000000000000e+01 3.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.526999999999999913e+00 6.666999999999999593e-01 2.193000000000000060e+00 1.048576000000000000e+06 3.200000000000000000e+01 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.530000000000000027e+00 1.767000000000000171e+01 1.919999999999999929e+01 1.048576000000000000e+06 1.000000000000000000e+00 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 9.342000000000000304e-01 4.540000000000000147e-01 1.387999999999999901e+00 1.048576000000000000e+06 5.200000000000000000e+01 2.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.389999999999999902e+00 3.696999999999999731e-01 1.760000000000000009e+00 1.048576000000000000e+06 6.200000000000000000e+01 3.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.322000000000000064e+00 1.116999999999999993e+00 2.439000000000000057e+00 1.048576000000000000e+06 2.000000000000000000e+01 3.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 8.842999999999999750e-01 2.217000000000000082e+00 3.101999999999999869e+00 1.048576000000000000e+06 1.000000000000000000e+01 2.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.530000000000000027e+00 6.301999999999999824e-01 2.160000000000000142e+00 1.048576000000000000e+06 3.400000000000000000e+01 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.522999999999999909e+00 1.004999999999999893e+00 2.528000000000000025e+00 1.048576000000000000e+06 2.200000000000000000e+01 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.538000000000000034e+00 4.919000000000000039e-01 2.029999999999999805e+00 1.048576000000000000e+06 4.800000000000000000e+01 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 8.972999999999999865e-01 7.066000000000000059e-01 1.604000000000000092e+00 1.048576000000000000e+06 3.000000000000000000e+01 2.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.528000000000000025e+00 2.770000000000000018e+00 4.296999999999999709e+00 1.048576000000000000e+06 8.000000000000000000e+00 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.306999999999999940e+00 1.221000000000000085e+00 2.528999999999999915e+00 1.048576000000000000e+06 1.800000000000000000e+01 3.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.316999999999999948e+00 9.239000000000000545e-01 2.241000000000000103e+00 1.048576000000000000e+06 2.400000000000000000e+01 3.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.522999999999999909e+00 7.047999999999999821e-01 2.228000000000000203e+00 1.048576000000000000e+06 3.000000000000000000e+01 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.540999999999999925e+00 3.679999999999999938e-01 1.909000000000000030e+00 1.048576000000000000e+06 6.200000000000000000e+01 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.524999999999999911e+00 1.766000000000000014e+01 1.919000000000000128e+01 1.048576000000000000e+06 1.000000000000000000e+00 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.518999999999999906e+00 2.761000000000000121e+00 4.280000000000000249e+00 1.048576000000000000e+06 8.000000000000000000e+00 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.524999999999999911e+00 2.759999999999999787e+00 4.285000000000000142e+00 1.048576000000000000e+06 8.000000000000000000e+00 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.536999999999999922e+00 1.767000000000000171e+01 1.919999999999999929e+01 1.048576000000000000e+06 1.000000000000000000e+00 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.334000000000000075e+00 1.217999999999999972e+00 2.552000000000000046e+00 1.048576000000000000e+06 1.800000000000000000e+01 3.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.516999999999999904e+00 1.016000000000000014e+00 2.532999999999999918e+00 1.048576000000000000e+06 2.200000000000000000e+01 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.326999999999999957e+00 7.606000000000000538e-01 2.087000000000000188e+00 1.048576000000000000e+06 2.800000000000000000e+01 3.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.528000000000000025e+00 7.098999999999999755e-01 2.237999999999999989e+00 1.048576000000000000e+06 3.000000000000000000e+01 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.536000000000000032e+00 6.683000000000000052e-01 2.204000000000000181e+00 1.048576000000000000e+06 3.200000000000000000e+01 1.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.395000000000000018e+00 5.170000000000000151e-01 1.911999999999999922e+00 1.048576000000000000e+06 4.600000000000000000e+01 3.000000000000000000e+00 2.329127596181119841e+01
-1.199000000000000099e-09 -1.408700000000000056e-02 -1.740699999999999886e-02 -1.927200000000000094e-02 -1.931700000000000084e-02 1.536999999999999922e+00 5.397999999999999687e+00 6.934999999999999609e+00 1.048576000000000000e+06 4.000000000000000000e+00 1.000000000000000000e+00 2.329127596181119841e+01
