Version Checksum Elapsed_time grid_size N_gangs vec_length
 3 263536 9.20817 4096 32 128
 1 263536 8.80388 4096 32 128
 2 263536 8.85387 4096 32 128
 3 263536 8.98414 4096 32 128
 1 263536 8.99449 4096 32 128
 2 263536 9.02056 4096 32 128
 3 263536 9.19483 4096 32 128
 1 263536 9.02706 4096 32 128
 2 263536 9.09913 4096 32 128
 3 263536 9.03315 4096 32 128
 1 263536 8.98724 4096 32 128
 2 263536 8.96685 4096 32 128
 3 263536 9.02484 4096 32 128
 1 263536 8.98099 4096 32 128
 2 263536 8.97184 4096 32 128
 3 263536 9.01306 4096 32 128
 1 263536 8.97521 4096 32 128
 2 263536 10.9654 4096 32 128
 3 263536 11.1004 4096 32 128
 1 263536 9.82587 4096 32 128
 2 263536 10.4023 4096 32 128
 3 263536 10.0387 4096 32 128
 1 263536 8.98585 4096 32 128
 2 263536 9.10258 4096 32 128
 3 263536 9.20441 4096 32 128
 1 333538 10.4966 4608 40 128
 2 333538 11.4616 4608 40 128
 3 333538 9.53017 4608 40 128
 1 333538 9.51896 4608 40 128
 2 333538 9.46692 4608 40 128
 3 333538 9.83361 4608 40 128
 1 333538 10.1425 4608 40 128
 2 333538 9.47015 4608 40 128
 3 333538 9.52995 4608 40 128
 1 333538 9.57541 4608 40 128
 2 333538 9.40355 4608 40 128
 3 333538 12.7082 4608 40 128
 1 333538 10.6356 4608 40 128
 2 333538 12.6954 4608 40 128
 3 333538 9.44918 4608 40 128
 1 333538 12.2831 4608 40 128
 2 333538 9.42863 4608 40 128
 3 333538 9.52451 4608 40 128
 1 333538 11.7221 4608 40 128
 2 333538 9.42039 4608 40 128
 3 333538 15.1582 4608 40 128
 1 333538 9.46902 4608 40 128
 2 333538 11.5419 4608 40 128
 3 333538 10.6183 4608 40 128
 1 333538 10.3943 4608 40 128
 2 333538 12.1052 4608 40 128
 3 333538 11.1597 4608 40 128
 1 411775 12.3781 5120 50 128
 3 411775 13.6293 5120 50 128
 1 411775 12.674 5120 50 128
 2 411775 16.1852 5120 50 128
 3 411775 15.0396 5120 50 128
 3 411775 24.232 5120 50 128
 1 411775 17.5137 5120 50 128
 2 411775 14.7684 5120 50 128
 3 411775 13.5949 5120 50 128
 1 411775 11.9808 5120 50 128
 2 411775 12.0393 5120 50 128
 3 411775 12.1456 5120 50 128
 1 411775 12.1047 5120 50 128
 2 411775 11.9848 5120 50 128
 3 411775 12.2332 5120 50 128
 1 411775 12.3389 5120 50 128
 2 411775 12.6527 5120 50 128
 3 411775 13.261 5120 50 128
 1 411775 12.0901 5120 50 128
 2 411775 12.0782 5120 50 128
 3 411775 12.0969 5120 50 128
 1 411775 12.2177 5120 50 128
 2 411775 12.5162 5120 50 128
 3 411775 28.5595 5120 50 128
 2 498248 37.4718 5632 60 128
 1 498248 44.8949 5632 60 128
 2 498248 15.9101 5632 60 128
 1 498248 18.4876 5632 60 128
 3 498248 15.689 5632 60 128
 1 498248 16.6615 5632 60 128
 2 498248 13.6156 5632 60 128
 3 498248 11.7066 5632 60 128
 1 498248 13.92 5632 60 128
 2 498248 12.7509 5632 60 128
 3 498248 30.5595 5632 60 128
 1 498248 44.9818 5632 60 128
 2 498248 28.3815 5632 60 128
 3 498248 11.6209 5632 60 128
 1 498248 14.4833 5632 60 128
 2 498248 11.5865 5632 60 128
 3 498248 12.3555 5632 60 128
 1 592956 13.2204 6144 72 128
