Version Checksum Elapsed_time grid_size N_gangs vec_length
 1 263536 7.08346 4096 46 128
 2 263536 7.06054 4096 46 128
 3 263536 7.2286 4096 46 128
 1 263536 7.07237 4096 46 128
 2 263536 7.04079 4096 46 128
 3 263536 7.06472 4096 46 128
 1 263536 7.30917 4096 46 128
 2 263536 7.03926 4096 46 128
 3 263536 7.10177 4096 46 128
 1 263536 6.72243 4096 51 128
 2 263536 6.68372 4096 51 128
 3 263536 6.65814 4096 51 128
 1 263536 7.87405 4096 51 128
 2 263536 6.64886 4096 51 128
 3 263536 6.75182 4096 51 128
 1 263536 6.80361 4096 51 128
 2 263536 6.63679 4096 51 128
 3 263536 6.78229 4096 51 128
 1 263536 6.65331 4096 51 128
 2 263536 6.65794 4096 51 128
 3 263536 6.70193 4096 51 128
 1 263536 6.66113 4096 51 128
 2 263536 6.79629 4096 51 128
 3 263536 6.65403 4096 51 128
 1 263536 6.71808 4096 51 128
 2 263536 6.65896 4096 51 128
 3 263536 6.6915 4096 51 128
 1 263536 6.39094 4096 56 128
 2 263536 6.32441 4096 56 128
 3 263536 6.36979 4096 56 128
 1 263536 6.37476 4096 56 128
 2 263536 6.3678 4096 56 128
 3 263536 6.35114 4096 56 128
 1 263536 6.39831 4096 56 128
 2 263536 6.44016 4096 56 128
 3 263536 6.3751 4096 56 128
 1 263536 6.37103 4096 56 128
 2 263536 6.33672 4096 56 128
 3 263536 6.3587 4096 56 128
 1 263536 6.36918 4096 56 128
 2 263536 6.33327 4096 56 128
 3 263536 6.39051 4096 56 128
 1 263536 6.59463 4096 56 128
 2 263536 6.36438 4096 56 128
 3 263536 6.35941 4096 56 128
 1 263536 6.14669 4096 61 128
 2 263536 6.19777 4096 61 128
 3 263536 6.11309 4096 61 128
 1 263536 6.13609 4096 61 128
 2 263536 6.12069 4096 61 128
 3 263536 6.17347 4096 61 128
 1 263536 6.1325 4096 61 128
 2 263536 6.12381 4096 61 128
 3 263536 6.11005 4096 61 128
 1 263536 6.15698 4096 61 128
 2 263536 6.2306 4096 61 128
 3 263536 6.09381 4096 61 128
 1 263536 6.14296 4096 61 128
 2 263536 6.09796 4096 61 128
 3 263536 6.12322 4096 61 128
 1 263536 6.13145 4096 61 128
 2 263536 6.1171 4096 61 128
 3 263536 6.10083 4096 61 128
 1 263536 5.95019 4096 66 128
 2 263536 5.91172 4096 66 128
 3 263536 5.88553 4096 66 128
 1 263536 5.94321 4096 66 128
 2 263536 5.892 4096 66 128
 3 263536 5.92893 4096 66 128
 1 263536 5.93045 4096 66 128
 2 263536 6.14882 4096 66 128
 3 263536 5.8919 4096 66 128
 1 263536 5.95811 4096 66 128
